Date,Open,High,Low,Close,Volume
2023-01-01,149.57142417256372,150.9048790322654,148.0530220616452,150.0,1947482
2023-01-02,151.73062656240137,151.27514234678205,149.05567259545106,150.99342830602245,4122102
2023-01-03,150.164091380719,151.0696736766925,149.21759604019422,150.71689970368007,2099224
2023-01-04,152.93872185876268,153.00901232536043,151.75210429962019,152.01227677988146,4290457
2023-01-05,154.08264544207717,155.8961873917066,153.54181010083948,155.05833649269752,2694953
2023-01-06,155.52978739666614,156.41972154538706,154.54085591033325,154.59002974325085,3670199
2023-01-07,153.20807565325364,154.84654362758576,154.0775087262945,154.12175582935248,1382141
2023-01-08,158.06246768776342,158.44135816092336,156.63296102206817,157.28018146036726,3495437
2023-01-09,158.87045313684567,160.07957949451213,157.83776453786376,158.81505091867308,2807070
2023-01-10,158.86203173904175,157.90229105997983,156.33528731118759,157.87610214680316,3346433
2023-01-11,158.1088153634459,160.2882969780085,157.59463148076208,158.9612222339751,1672056
2023-01-12,158.14209541715283,158.3904587820897,157.1425814355967,158.03438684835018,3947494
2023-01-13,158.04153241244785,159.02506797614856,156.55567400864632,157.10292734120966,4451188
2023-01-14,157.63304757268205,157.88417733984798,155.59260288402632,157.58685188434174,1866959
2023-01-15,154.01908867129666,154.5895396424802,152.9079287905542,153.76029139502614,1382858
2023-01-16,150.70195310796933,150.48115506615738,149.40768168134073,150.3104557300001,1094554
2023-01-17,149.09496280105367,151.17962917521004,148.8586330291348,149.18588067151813,3567886
2023-01-18,147.4153345910174,148.16460845151178,145.57059933334943,147.16021843084928,3428376
2023-01-19,147.95734171988602,148.9794831306799,146.40134864447685,147.78871309603983,3186789
2023-01-20,146.77498096597938,146.10681789977426,145.5311257194199,145.9726649449974,1927788
2023-01-21,142.23895030300974,144.64797848312517,142.98329545109513,143.14805754232682,2563623
2023-01-22,145.6412814593544,146.4991662663611,144.71835647602052,146.07935508016993,3377905
2023-01-23,146.52862544734998,147.4239110580783,144.31878005063462,145.62780247919687,2987067
2023-01-24,146.54338645635454,146.1731381695367,145.2163398345763,145.7628588885727,4951142
2023-01-25,142.8246760217172,143.2947379574731,141.01163539164497,142.91336251614578,1545759
2023-01-26,142.0648622626985,141.8976964027916,141.52248128353364,141.82459706709543,3780578
2023-01-27,141.60120461247743,142.99057613673517,141.18177264442997,142.04644224651517,2617275
2023-01-28,139.1206974111181,140.8741373581958,137.85722325133537,139.74445509167057,2712798
2023-01-29,140.42324793824187,140.62726840721862,139.65639649450966,140.49585112836192,3870391
2023-01-30,139.0012782045764,140.84562898191433,138.01752185319611,139.2945737485243,3769744
2023-01-31,138.87849847263948,139.61776391843378,137.91599745301215,138.71118624893774,4965023
2023-02-01,136.66324229840893,138.55655356313412,136.9593426197816,137.50777302447895,1513577
2023-02-02,142.16111900882916,142.09385488737328,139.24437409757715,141.21232939349682,1416438
2023-02-03,142.15775643298016,141.9868610657716,140.36666693139085,141.18533494402095,3897355
2023-02-04,139.46623651414865,140.1891937487256,137.2817146787509,139.06991308610915,3313547
2023-02-05,140.78719564300377,141.02548340217695,140.25509369853336,140.71500291031552,2096642
2023-02-06,137.89237084294615,138.63717187136402,137.84710620232332,138.2733156103735,1317677
2023-02-07,139.3186328397969,140.41461404241005,138.628774634614,138.691042800383,1342632
2023-02-08,135.14116489773122,136.66393347689072,133.46836890187168,134.77170255262345,4576763
2023-02-09,131.44056433351636,132.8619490873861,131.37827776737907,132.1153304548266,1767469
2023-02-10,133.33090729555252,133.05054227285194,130.78033642688555,132.50905292656483,2293486
2023-02-11,134.631060572402,135.27398517303368,133.03956627317254,133.98598608655564,1906625
2023-02-12,135.22832247551943,135.14619099113176,132.39233579310613,134.32872264893558,2419985
2023-02-13,134.54886510093584,134.1481987954798,133.72637505275287,134.0974260841591,1277695
2023-02-14,133.7220490848521,133.8075238877129,131.75797235706932,133.49521869298053,3076239
2023-02-15,130.37466078482692,131.97011916994046,128.9849810066622,130.53817471224568,1270450
2023-02-16,129.9639432621643,130.41633417927656,127.55664260616817,129.09848629545627,4201426
2023-02-17,128.9093365325375,128.23140073854367,126.48764229730291,128.1772087535367,1934848
2023-02-18,129.38189054618692,130.73539752984044,128.76940522408853,130.29145320597453,3160047
2023-02-19,130.03142373410597,131.44083937828762,129.72624914184863,130.97868978511147,4520316
2023-02-20,127.2055362081421,128.79639496158347,127.19011971902124,127.45260947438601,3603509
2023-02-21,128.72188407473925,128.14019848868432,128.03572505419308,128.1007774131756,3131831
2023-02-22,128.30516511097287,127.53883001631212,125.4889171567116,127.33061285234297,2297335
2023-02-23,125.2776026339381,127.57660102247743,124.74346822268957,125.97676885173105,2332007
2023-02-24,127.38838286011706,127.55721075352146,125.60704684746044,127.20012142941279,3677947
2023-02-25,129.02390218766675,130.56761269010843,128.2990757713796,129.2621204744047,4976557
2023-02-26,132.0645095082663,131.60104627473055,130.8900643347123,131.1246807126371,3647356
2023-02-27,130.13048351246323,129.6451284517105,129.1958740817867,129.4462456661918,3231133
2023-02-28,129.50447832391163,129.31416529648828,127.45669034003143,128.82782091448937,3922602
